team,opponent,year,round,match_date,result,home_away,venue,crowd,score,margin
Adelaide Crows,Collingwood Magpies,1997,6,1997-05-03,L,A,Victoria Park,24663.0,,-1
Brisbane Lions,Essendon Bombers,1997,6,1997-05-03,L,A,Melbourne Cricket Ground,37642.0,,-31
Collingwood Magpies,Adelaide Crows,1997,6,1997-05-03,W,H,Victoria Park,24663.0,,1
Essendon Bombers,Brisbane Lions,1997,6,1997-05-03,W,H,Melbourne Cricket Ground,37642.0,,31
Fremantle Dockers,Geelong Cats,1997,6,1997-05-03,L,A,GMHBA Stadium,16467.0,,-54
Geelong Cats,Fremantle Dockers,1997,6,1997-05-03,W,H,GMHBA Stadium,16467.0,,54
Hawthorn Hawks,North Melbourne Kangaroos,1997,6,1997-05-03,L,H,Waverley Park,38953.0,,-10
North Melbourne Kangaroos,Hawthorn Hawks,1997,6,1997-05-03,W,A,Waverley Park,38953.0,,10
Carlton Blues,Sydney Swans,1997,6,1997-05-04,L,A,Sydney Cricket Ground,37933.0,,-59
Melbourne Demons,St Kilda Saints,1997,6,1997-05-04,L,A,Waverley Park,21104.0,,-86
Port Adelaide Power,Richmond Tigers,1997,6,1997-05-04,W,H,AAMI Stadium,36090.0,,64
Richmond Tigers,Port Adelaide Power,1997,6,1997-05-04,L,A,AAMI Stadium,36090.0,,-64
St Kilda Saints,Melbourne Demons,1997,6,1997-05-04,W,H,Waverley Park,21104.0,,86
Sydney Swans,Carlton Blues,1997,6,1997-05-04,W,H,Sydney Cricket Ground,37933.0,,59
Collingwood Magpies,North Melbourne Kangaroos,1997,7,1997-05-09,W,A,Melbourne Cricket Ground,54901.0,,43
North Melbourne Kangaroos,Collingwood Magpies,1997,7,1997-05-09,L,H,Melbourne Cricket Ground,54901.0,,-43
Carlton Blues,Richmond Tigers,1997,7,1997-05-10,W,A,Melbourne Cricket Ground,48833.0,,22
Fremantle Dockers,Melbourne Demons,1997,7,1997-05-10,W,H,WACA,18198.0,,55
Geelong Cats,Sydney Swans,1997,7,1997-05-10,W,H,GMHBA Stadium,22151.0,,32
Hawthorn Hawks,Western Bulldogs,1997,7,1997-05-10,L,A,Princes Park,18860.0,,-45
Melbourne Demons,Fremantle Dockers,1997,7,1997-05-10,L,A,WACA,18198.0,,-55
Port Adelaide Power,St Kilda Saints,1997,7,1997-05-10,L,A,Waverley Park,17752.0,,-65
Richmond Tigers,Carlton Blues,1997,7,1997-05-10,L,H,Melbourne Cricket Ground,48833.0,,-22
St Kilda Saints,Port Adelaide Power,1997,7,1997-05-10,W,H,Waverley Park,17752.0,,65
Sydney Swans,Geelong Cats,1997,7,1997-05-10,L,A,GMHBA Stadium,22151.0,,-32
Western Bulldogs,Hawthorn Hawks,1997,7,1997-05-10,W,H,Princes Park,18860.0,,45
Adelaide Crows,Essendon Bombers,1997,7,1997-05-11,W,H,AAMI Stadium,39275.0,,53
Brisbane Lions,West Coast Eagles,1997,7,1997-05-11,L,H,The Gabba,17524.0,,-79
Essendon Bombers,Adelaide Crows,1997,7,1997-05-11,L,A,AAMI Stadium,39275.0,,-53
West Coast Eagles,Brisbane Lions,1997,7,1997-05-11,W,A,The Gabba,17524.0,,79
Collingwood Magpies,Western Bulldogs,1997,8,1997-05-16,W,H,Melbourne Cricket Ground,61014.0,,46
Western Bulldogs,Collingwood Magpies,1997,8,1997-05-16,L,A,Melbourne Cricket Ground,61014.0,,-46
Adelaide Crows,Sydney Swans,1997,8,1997-05-17,W,H,AAMI Stadium,40147.0,,89
Geelong Cats,Melbourne Demons,1997,8,1997-05-17,W,A,Melbourne Cricket Ground,28989.0,,79
Melbourne Demons,Geelong Cats,1997,8,1997-05-17,L,H,Melbourne Cricket Ground,28989.0,,-79
North Melbourne Kangaroos,Port Adelaide Power,1997,8,1997-05-17,W,H,Princes Park,13056.0,,28
Port Adelaide Power,North Melbourne Kangaroos,1997,8,1997-05-17,L,A,Princes Park,13056.0,,-28
Sydney Swans,Adelaide Crows,1997,8,1997-05-17,L,A,AAMI Stadium,40147.0,,-89
Brisbane Lions,Fremantle Dockers,1997,8,1997-05-18,L,A,Domain Stadium,14721.0,,-5
Carlton Blues,Hawthorn Hawks,1997,8,1997-05-18,W,H,Princes Park,29783.0,,25
Essendon Bombers,St Kilda Saints,1997,8,1997-05-18,L,H,Melbourne Cricket Ground,51928.0,,-24
Fremantle Dockers,Brisbane Lions,1997,8,1997-05-18,W,H,Domain Stadium,14721.0,,5
Hawthorn Hawks,Carlton Blues,1997,8,1997-05-18,L,A,Princes Park,29783.0,,-25
St Kilda Saints,Essendon Bombers,1997,8,1997-05-18,W,A,Melbourne Cricket Ground,51928.0,,24
Richmond Tigers,West Coast Eagles,1997,8,1997-05-19,W,H,Melbourne Cricket Ground,26721.0,,52
West Coast Eagles,Richmond Tigers,1997,8,1997-05-19,L,A,Melbourne Cricket Ground,26721.0,,-52
Melbourne Demons,Port Adelaide Power,1997,9,1997-05-23,L,A,AAMI Stadium,32958.0,,-51
Port Adelaide Power,Melbourne Demons,1997,9,1997-05-23,W,H,AAMI Stadium,32958.0,,51
Adelaide Crows,Hawthorn Hawks,1997,9,1997-05-24,W,A,Waverley Park,23463.0,,14
Carlton Blues,Fremantle Dockers,1997,9,1997-05-24,W,H,Princes Park,18187.0,,17
Collingwood Magpies,Sydney Swans,1997,9,1997-05-24,L,A,Sydney Cricket Ground,39780.0,,-37
Fremantle Dockers,Carlton Blues,1997,9,1997-05-24,L,A,Princes Park,18187.0,,-17
Hawthorn Hawks,Adelaide Crows,1997,9,1997-05-24,L,H,Waverley Park,23463.0,,-14
Sydney Swans,Collingwood Magpies,1997,9,1997-05-24,W,H,Sydney Cricket Ground,39780.0,,37
Brisbane Lions,Geelong Cats,1997,9,1997-05-25,W,H,The Gabba,19828.0,,28
Essendon Bombers,West Coast Eagles,1997,9,1997-05-25,L,A,Domain Stadium,38984.0,,-25
Geelong Cats,Brisbane Lions,1997,9,1997-05-25,L,A,The Gabba,19828.0,,-28
North Melbourne Kangaroos,Western Bulldogs,1997,9,1997-05-25,L,H,Melbourne Cricket Ground,29307.0,,-32
Richmond Tigers,St Kilda Saints,1997,9,1997-05-25,L,A,Waverley Park,52257.0,,-47
St Kilda Saints,Richmond Tigers,1997,9,1997-05-25,W,H,Waverley Park,52257.0,,47
West Coast Eagles,Essendon Bombers,1997,9,1997-05-25,W,H,Domain Stadium,38984.0,,25
Western Bulldogs,North Melbourne Kangaroos,1997,9,1997-05-25,W,A,Melbourne Cricket Ground,29307.0,,32
Carlton Blues,Port Adelaide Power,1997,10,1997-05-30,L,A,AAMI Stadium,40116.0,,-38
Port Adelaide Power,Carlton Blues,1997,10,1997-05-30,W,H,AAMI Stadium,40116.0,,38
Collingwood Magpies,Hawthorn Hawks,1997,10,1997-05-31,L,A,Waverley Park,51494.0,,-53
Geelong Cats,St Kilda Saints,1997,10,1997-05-31,W,H,GMHBA Stadium,22731.0,,28
Hawthorn Hawks,Collingwood Magpies,1997,10,1997-05-31,W,H,Waverley Park,51494.0,,53
Melbourne Demons,Richmond Tigers,1997,10,1997-05-31,W,A,Melbourne Cricket Ground,28879.0,,25
North Melbourne Kangaroos,West Coast Eagles,1997,10,1997-05-31,W,H,Princes Park,13614.0,,45
Richmond Tigers,Melbourne Demons,1997,10,1997-05-31,L,H,Melbourne Cricket Ground,28879.0,,-25
St Kilda Saints,Geelong Cats,1997,10,1997-05-31,L,A,GMHBA Stadium,22731.0,,-28
West Coast Eagles,North Melbourne Kangaroos,1997,10,1997-05-31,L,A,Princes Park,13614.0,,-45
Brisbane Lions,Sydney Swans,1997,10,1997-06-01,W,H,The Gabba,20403.0,,3
Essendon Bombers,Western Bulldogs,1997,10,1997-06-01,L,H,Melbourne Cricket Ground,50138.0,,-22
Sydney Swans,Brisbane Lions,1997,10,1997-06-01,L,A,The Gabba,20403.0,,-3
Western Bulldogs,Essendon Bombers,1997,10,1997-06-01,W,A,Melbourne Cricket Ground,50138.0,,22
Adelaide Crows,Fremantle Dockers,1997,10,1997-06-02,W,A,Domain Stadium,22464.0,,33
Fremantle Dockers,Adelaide Crows,1997,10,1997-06-02,L,H,Domain Stadium,22464.0,,-33
Collingwood Magpies,Richmond Tigers,1997,11,1997-06-06,L,H,Melbourne Cricket Ground,70350.0,,-6
Richmond Tigers,Collingwood Magpies,1997,11,1997-06-06,W,A,Melbourne Cricket Ground,70350.0,,6
Essendon Bombers,Hawthorn Hawks,1997,11,1997-06-07,L,H,Melbourne Cricket Ground,60594.0,,-33
Geelong Cats,Western Bulldogs,1997,11,1997-06-07,L,A,Princes Park,24897.0,,-21
Hawthorn Hawks,Essendon Bombers,1997,11,1997-06-07,W,A,Melbourne Cricket Ground,60594.0,,33
Port Adelaide Power,Sydney Swans,1997,11,1997-06-07,L,H,AAMI Stadium,35669.0,,-35
Sydney Swans,Port Adelaide Power,1997,11,1997-06-07,W,A,AAMI Stadium,35669.0,,35
Western Bulldogs,Geelong Cats,1997,11,1997-06-07,W,H,Princes Park,24897.0,,21
Adelaide Crows,Melbourne Demons,1997,11,1997-06-08,W,A,Melbourne Cricket Ground,27463.0,,52
Melbourne Demons,Adelaide Crows,1997,11,1997-06-08,L,H,Melbourne Cricket Ground,27463.0,,-52
St Kilda Saints,West Coast Eagles,1997,11,1997-06-08,W,A,Domain Stadium,29390.0,,16
West Coast Eagles,St Kilda Saints,1997,11,1997-06-08,L,H,Domain Stadium,29390.0,,-16
Brisbane Lions,Carlton Blues,1997,11,1997-06-09,L,A,Princes Park,27904.0,,-21
Carlton Blues,Brisbane Lions,1997,11,1997-06-09,W,H,Princes Park,27904.0,,21
Fremantle Dockers,North Melbourne Kangaroos,1997,11,1997-06-09,L,A,Melbourne Cricket Ground,20585.0,,-26
North Melbourne Kangaroos,Fremantle Dockers,1997,11,1997-06-09,W,H,Melbourne Cricket Ground,20585.0,,26
Richmond Tigers,Sydney Swans,1997,12,1997-06-13,L,A,Sydney Cricket Ground,35033.0,,-54
Sydney Swans,Richmond Tigers,1997,12,1997-06-13,W,H,Sydney Cricket Ground,35033.0,,54
Collingwood Magpies,West Coast Eagles,1997,12,1997-06-14,L,H,Victoria Park,25323.0,,-16
Geelong Cats,Hawthorn Hawks,1997,12,1997-06-14,L,H,GMHBA Stadium,22871.0,,-6
Hawthorn Hawks,Geelong Cats,1997,12,1997-06-14,W,A,GMHBA Stadium,22871.0,,6
Port Adelaide Power,Western Bulldogs,1997,12,1997-06-14,W,A,Princes Park,14025.0,,12
West Coast Eagles,Collingwood Magpies,1997,12,1997-06-14,W,A,Victoria Park,25323.0,,16
Western Bulldogs,Port Adelaide Power,1997,12,1997-06-14,L,H,Princes Park,14025.0,,-12
Adelaide Crows,North Melbourne Kangaroos,1997,12,1997-06-15,L,H,AAMI Stadium,43345.0,,-22
Brisbane Lions,Melbourne Demons,1997,12,1997-06-15,W,A,Melbourne Cricket Ground,13392.0,,85
Carlton Blues,St Kilda Saints,1997,12,1997-06-15,L,A,Waverley Park,44883.0,,-31
Essendon Bombers,Fremantle Dockers,1997,12,1997-06-15,L,A,Domain Stadium,21956.0,,-97
Fremantle Dockers,Essendon Bombers,1997,12,1997-06-15,W,H,Domain Stadium,21956.0,,97
Melbourne Demons,Brisbane Lions,1997,12,1997-06-15,L,H,Melbourne Cricket Ground,13392.0,,-85
North Melbourne Kangaroos,Adelaide Crows,1997,12,1997-06-15,W,A,AAMI Stadium,43345.0,,22
St Kilda Saints,Carlton Blues,1997,12,1997-06-15,W,H,Waverley Park,44883.0,,31
Carlton Blues,West Coast Eagles,1997,13,1997-06-27,W,A,Domain Stadium,37854.0,,7
West Coast Eagles,Carlton Blues,1997,13,1997-06-27,L,H,Domain Stadium,37854.0,,-7
Adelaide Crows,Geelong Cats,1997,13,1997-06-28,L,A,GMHBA Stadium,20236.0,,-56
Brisbane Lions,Collingwood Magpies,1997,13,1997-06-28,W,H,The Gabba,19560.0,,15
Collingwood Magpies,Brisbane Lions,1997,13,1997-06-28,L,A,The Gabba,19560.0,,-15
Essendon Bombers,Richmond Tigers,1997,13,1997-06-28,W,A,Melbourne Cricket Ground,58812.0,,93
Fremantle Dockers,Port Adelaide Power,1997,13,1997-06-28,L,A,AAMI Stadium,30827.0,,-15
Geelong Cats,Adelaide Crows,1997,13,1997-06-28,W,H,GMHBA Stadium,20236.0,,56
Port Adelaide Power,Fremantle Dockers,1997,13,1997-06-28,W,H,AAMI Stadium,30827.0,,15
Richmond Tigers,Essendon Bombers,1997,13,1997-06-28,L,H,Melbourne Cricket Ground,58812.0,,-93
St Kilda Saints,Western Bulldogs,1997,13,1997-06-28,L,H,Waverley Park,32370.0,,-17
Western Bulldogs,St Kilda Saints,1997,13,1997-06-28,W,A,Waverley Park,32370.0,,17
Hawthorn Hawks,Melbourne Demons,1997,13,1997-06-29,W,H,Waverley Park,31517.0,,63
Melbourne Demons,Hawthorn Hawks,1997,13,1997-06-29,L,A,Waverley Park,31517.0,,-63
North Melbourne Kangaroos,Sydney Swans,1997,13,1997-06-29,L,A,Sydney Cricket Ground,30160.0,,-10
Sydney Swans,North Melbourne Kangaroos,1997,13,1997-06-29,W,H,Sydney Cricket Ground,30160.0,,10
Adelaide Crows,West Coast Eagles,1997,14,1997-07-04,W,H,AAMI Stadium,39221.0,,75
West Coast Eagles,Adelaide Crows,1997,14,1997-07-04,L,A,AAMI Stadium,39221.0,,-75
Carlton Blues,Western Bulldogs,1997,14,1997-07-05,L,H,Princes Park,32183.0,,-36
Collingwood Magpies,Geelong Cats,1997,14,1997-07-05,L,H,Melbourne Cricket Ground,65228.0,,-8
Fremantle Dockers,Sydney Swans,1997,14,1997-07-05,W,H,WACA,19290.0,,15
Geelong Cats,Collingwood Magpies,1997,14,1997-07-05,W,A,Melbourne Cricket Ground,65228.0,,8
North Melbourne Kangaroos,St Kilda Saints,1997,14,1997-07-05,L,A,Waverley Park,32635.0,,-54
St Kilda Saints,North Melbourne Kangaroos,1997,14,1997-07-05,W,H,Waverley Park,32635.0,,54
Sydney Swans,Fremantle Dockers,1997,14,1997-07-05,L,A,WACA,19290.0,,-15
Western Bulldogs,Carlton Blues,1997,14,1997-07-05,W,A,Princes Park,32183.0,,36
Brisbane Lions,Richmond Tigers,1997,14,1997-07-06,W,H,The Gabba,19155.0,,18
Essendon Bombers,Melbourne Demons,1997,14,1997-07-06,W,H,Melbourne Cricket Ground,44803.0,,63
Hawthorn Hawks,Port Adelaide Power,1997,14,1997-07-06,W,H,Waverley Park,29886.0,,32
Melbourne Demons,Essendon Bombers,1997,14,1997-07-06,L,A,Melbourne Cricket Ground,44803.0,,-63
Port Adelaide Power,Hawthorn Hawks,1997,14,1997-07-06,L,A,Waverley Park,29886.0,,-32
Richmond Tigers,Brisbane Lions,1997,14,1997-07-06,L,A,The Gabba,19155.0,,-18
Geelong Cats,North Melbourne Kangaroos,1997,15,1997-07-11,W,A,Melbourne Cricket Ground,45120.0,,10
North Melbourne Kangaroos,Geelong Cats,1997,15,1997-07-11,L,H,Melbourne Cricket Ground,45120.0,,-10
Adelaide Crows,St Kilda Saints,1997,15,1997-07-12,W,H,AAMI Stadium,39921.0,,10
Brisbane Lions,Western Bulldogs,1997,15,1997-07-12,W,A,Princes Park,16430.0,,64
Carlton Blues,Melbourne Demons,1997,15,1997-07-12,L,A,Melbourne Cricket Ground,27992.0,,-19
Collingwood Magpies,Fremantle Dockers,1997,15,1997-07-12,W,H,Victoria Park,23433.0,,100
Fremantle Dockers,Collingwood Magpies,1997,15,1997-07-12,L,A,Victoria Park,23433.0,,-100
Melbourne Demons,Carlton Blues,1997,15,1997-07-12,W,H,Melbourne Cricket Ground,27992.0,,19
St Kilda Saints,Adelaide Crows,1997,15,1997-07-12,L,A,AAMI Stadium,39921.0,,-10
Western Bulldogs,Brisbane Lions,1997,15,1997-07-12,L,H,Princes Park,16430.0,,-64
Essendon Bombers,Sydney Swans,1997,15,1997-07-13,L,A,Sydney Cricket Ground,36077.0,,-1
Hawthorn Hawks,Richmond Tigers,1997,15,1997-07-13,L,A,Melbourne Cricket Ground,49217.0,,-76
Port Adelaide Power,West Coast Eagles,1997,15,1997-07-13,L,A,Domain Stadium,29723.0,,-18
Richmond Tigers,Hawthorn Hawks,1997,15,1997-07-13,W,H,Melbourne Cricket Ground,49217.0,,76
Sydney Swans,Essendon Bombers,1997,15,1997-07-13,W,H,Sydney Cricket Ground,36077.0,,1
West Coast Eagles,Port Adelaide Power,1997,15,1997-07-13,W,H,Domain Stadium,29723.0,,18
Adelaide Crows,Brisbane Lions,1997,16,1997-07-18,L,A,The Gabba,21348.0,,-31
Brisbane Lions,Adelaide Crows,1997,16,1997-07-18,W,H,The Gabba,21348.0,,31
Carlton Blues,Essendon Bombers,1997,16,1997-07-19,W,A,Melbourne Cricket Ground,58512.0,,78
Collingwood Magpies,Port Adelaide Power,1997,16,1997-07-19,L,A,AAMI Stadium,37790.0,,-53
Essendon Bombers,Carlton Blues,1997,16,1997-07-19,L,H,Melbourne Cricket Ground,58512.0,,-78
Geelong Cats,Richmond Tigers,1997,16,1997-07-19,W,H,GMHBA Stadium,24099.0,,32
Hawthorn Hawks,St Kilda Saints,1997,16,1997-07-19,L,H,Waverley Park,43181.0,,-79
Port Adelaide Power,Collingwood Magpies,1997,16,1997-07-19,W,H,AAMI Stadium,37790.0,,53
Richmond Tigers,Geelong Cats,1997,16,1997-07-19,L,A,GMHBA Stadium,24099.0,,-32
St Kilda Saints,Hawthorn Hawks,1997,16,1997-07-19,W,A,Waverley Park,43181.0,,79
Sydney Swans,West Coast Eagles,1997,16,1997-07-19,W,H,Sydney Cricket Ground,39318.0,,37
West Coast Eagles,Sydney Swans,1997,16,1997-07-19,L,A,Sydney Cricket Ground,39318.0,,-37
Fremantle Dockers,Western Bulldogs,1997,16,1997-07-20,W,H,Domain Stadium,18392.0,,6
Melbourne Demons,North Melbourne Kangaroos,1997,16,1997-07-20,L,H,Melbourne Cricket Ground,23309.0,,-56
North Melbourne Kangaroos,Melbourne Demons,1997,16,1997-07-20,W,A,Melbourne Cricket Ground,23309.0,,56
Western Bulldogs,Fremantle Dockers,1997,16,1997-07-20,L,A,Domain Stadium,18392.0,,-6
Essendon Bombers,Port Adelaide Power,1997,17,1997-07-25,L,H,Melbourne Cricket Ground,33076.0,,-50
Port Adelaide Power,Essendon Bombers,1997,17,1997-07-25,W,A,Melbourne Cricket Ground,33076.0,,50
Adelaide Crows,Richmond Tigers,1997,17,1997-07-26,W,H,AAMI Stadium,36297.0,,137
Carlton Blues,North Melbourne Kangaroos,1997,17,1997-07-26,L,H,Princes Park,27689.0,,-38
Fremantle Dockers,Hawthorn Hawks,1997,17,1997-07-26,W,A,Waverley Park,15939.0,,9
Hawthorn Hawks,Fremantle Dockers,1997,17,1997-07-26,L,H,Waverley Park,15939.0,,-9
North Melbourne Kangaroos,Carlton Blues,1997,17,1997-07-26,W,A,Princes Park,27689.0,,38
Richmond Tigers,Adelaide Crows,1997,17,1997-07-26,L,A,AAMI Stadium,36297.0,,-137
Sydney Swans,Western Bulldogs,1997,17,1997-07-26,W,H,Sydney Cricket Ground,32534.0,,97
Western Bulldogs,Sydney Swans,1997,17,1997-07-26,L,A,Sydney Cricket Ground,32534.0,,-97
Brisbane Lions,St Kilda Saints,1997,17,1997-07-27,L,A,Waverley Park,34859.0,,-48
Collingwood Magpies,Melbourne Demons,1997,17,1997-07-27,W,H,Melbourne Cricket Ground,37779.0,,52
Geelong Cats,West Coast Eagles,1997,17,1997-07-27,L,A,Domain Stadium,34565.0,,-47
Melbourne Demons,Collingwood Magpies,1997,17,1997-07-27,L,A,Melbourne Cricket Ground,37779.0,,-52
St Kilda Saints,Brisbane Lions,1997,17,1997-07-27,W,H,Waverley Park,34859.0,,48
West Coast Eagles,Geelong Cats,1997,17,1997-07-27,W,H,Domain Stadium,34565.0,,47
Essendon Bombers,North Melbourne Kangaroos,1997,18,1997-08-01,L,A,Melbourne Cricket Ground,38614.0,,-19
North Melbourne Kangaroos,Essendon Bombers,1997,18,1997-08-01,W,H,Melbourne Cricket Ground,38614.0,,19
Brisbane Lions,Hawthorn Hawks,1997,18,1997-08-02,W,H,The Gabba,19635.0,,70
Geelong Cats,Port Adelaide Power,1997,18,1997-08-02,W,H,GMHBA Stadium,21867.0,,85
Hawthorn Hawks,Brisbane Lions,1997,18,1997-08-02,L,A,The Gabba,19635.0,,-70
Melbourne Demons,Sydney Swans,1997,18,1997-08-02,L,H,Melbourne Cricket Ground,26901.0,,-116
Port Adelaide Power,Geelong Cats,1997,18,1997-08-02,L,A,GMHBA Stadium,21867.0,,-85
Richmond Tigers,Western Bulldogs,1997,18,1997-08-02,W,A,Princes Park,18373.0,,15
Sydney Swans,Melbourne Demons,1997,18,1997-08-02,W,A,Melbourne Cricket Ground,26901.0,,116
Western Bulldogs,Richmond Tigers,1997,18,1997-08-02,L,H,Princes Park,18373.0,,-15
Adelaide Crows,Carlton Blues,1997,18,1997-08-03,W,H,AAMI Stadium,42548.0,,41
Carlton Blues,Adelaide Crows,1997,18,1997-08-03,L,A,AAMI Stadium,42548.0,,-41
Collingwood Magpies,St Kilda Saints,1997,18,1997-08-03,L,H,Melbourne Cricket Ground,68036.0,,-22
Fremantle Dockers,West Coast Eagles,1997,18,1997-08-03,L,H,Domain Stadium,39711.0,,-33
St Kilda Saints,Collingwood Magpies,1997,18,1997-08-03,W,A,Melbourne Cricket Ground,68036.0,,22
West Coast Eagles,Fremantle Dockers,1997,18,1997-08-03,W,A,Domain Stadium,39711.0,,33
Brisbane Lions,North Melbourne Kangaroos,1997,19,1997-08-08,L,A,Melbourne Cricket Ground,27021.0,,-57
North Melbourne Kangaroos,Brisbane Lions,1997,19,1997-08-08,W,H,Melbourne Cricket Ground,27021.0,,57
Carlton Blues,Collingwood Magpies,1997,19,1997-08-09,W,A,Melbourne Cricket Ground,61650.0,,16
Collingwood Magpies,Carlton Blues,1997,19,1997-08-09,L,H,Melbourne Cricket Ground,61650.0,,-16
Fremantle Dockers,Richmond Tigers,1997,19,1997-08-09,W,H,WACA,15757.0,,43
Hawthorn Hawks,West Coast Eagles,1997,19,1997-08-09,L,H,Waverley Park,20517.0,,-21
Melbourne Demons,Western Bulldogs,1997,19,1997-08-09,L,A,Princes Park,13058.0,,-38
Richmond Tigers,Fremantle Dockers,1997,19,1997-08-09,L,A,WACA,15757.0,,-43
West Coast Eagles,Hawthorn Hawks,1997,19,1997-08-09,W,A,Waverley Park,20517.0,,21
Western Bulldogs,Melbourne Demons,1997,19,1997-08-09,W,H,Princes Park,13058.0,,38
Adelaide Crows,Port Adelaide Power,1997,19,1997-08-10,W,A,AAMI Stadium,45498.0,,7
Essendon Bombers,Geelong Cats,1997,19,1997-08-10,W,H,Melbourne Cricket Ground,53901.0,,5
Geelong Cats,Essendon Bombers,1997,19,1997-08-10,L,A,Melbourne Cricket Ground,53901.0,,-5
Port Adelaide Power,Adelaide Crows,1997,19,1997-08-10,L,H,AAMI Stadium,45498.0,,-7
St Kilda Saints,Sydney Swans,1997,19,1997-08-10,W,A,Sydney Cricket Ground,39287.0,,9
Sydney Swans,St Kilda Saints,1997,19,1997-08-10,L,H,Sydney Cricket Ground,39287.0,,-9
Melbourne Demons,West Coast Eagles,1997,20,1997-08-15,L,A,WACA,21164.0,,-38
West Coast Eagles,Melbourne Demons,1997,20,1997-08-15,W,H,WACA,21164.0,,38
Brisbane Lions,Port Adelaide Power,1997,20,1997-08-16,D,H,The Gabba,20835.0,,0
Carlton Blues,Geelong Cats,1997,20,1997-08-16,L,A,GMHBA Stadium,23007.0,,-28
Collingwood Magpies,Essendon Bombers,1997,20,1997-08-16,W,H,Melbourne Cricket Ground,50944.0,,10
Essendon Bombers,Collingwood Magpies,1997,20,1997-08-16,L,A,Melbourne Cricket Ground,50944.0,,-10
Fremantle Dockers,St Kilda Saints,1997,20,1997-08-16,L,A,Waverley Park,26201.0,,-13
Geelong Cats,Carlton Blues,1997,20,1997-08-16,W,H,GMHBA Stadium,23007.0,,28
Port Adelaide Power,Brisbane Lions,1997,20,1997-08-16,D,A,The Gabba,20835.0,,0
St Kilda Saints,Fremantle Dockers,1997,20,1997-08-16,W,H,Waverley Park,26201.0,,13
Adelaide Crows,Western Bulldogs,1997,20,1997-08-17,L,H,AAMI Stadium,39632.0,,-43
Hawthorn Hawks,Sydney Swans,1997,20,1997-08-17,L,A,Sydney Cricket Ground,34111.0,,-58
North Melbourne Kangaroos,Richmond Tigers,1997,20,1997-08-17,L,A,Melbourne Cricket Ground,29620.0,,-1
Richmond Tigers,North Melbourne Kangaroos,1997,20,1997-08-17,W,H,Melbourne Cricket Ground,29620.0,,1
Sydney Swans,Hawthorn Hawks,1997,20,1997-08-17,W,H,Sydney Cricket Ground,34111.0,,58
Western Bulldogs,Adelaide Crows,1997,20,1997-08-17,W,A,AAMI Stadium,39632.0,,43
Melbourne Demons,St Kilda Saints,1997,21,1997-08-22,L,H,Melbourne Cricket Ground,32935.0,,-52
St Kilda Saints,Melbourne Demons,1997,21,1997-08-22,W,A,Melbourne Cricket Ground,32935.0,,52
Brisbane Lions,Essendon Bombers,1997,21,1997-08-23,L,H,The Gabba,21065.0,,-4
Carlton Blues,Sydney Swans,1997,21,1997-08-23,W,H,Princes Park,27375.0,,35
Essendon Bombers,Brisbane Lions,1997,21,1997-08-23,W,A,The Gabba,21065.0,,4
Hawthorn Hawks,North Melbourne Kangaroos,1997,21,1997-08-23,L,A,Melbourne Cricket Ground,26393.0,,-38
North Melbourne Kangaroos,Hawthorn Hawks,1997,21,1997-08-23,W,H,Melbourne Cricket Ground,26393.0,,38
Sydney Swans,Carlton Blues,1997,21,1997-08-23,L,A,Princes Park,27375.0,,-35
West Coast Eagles,Western Bulldogs,1997,21,1997-08-23,L,A,Western Oval,26704.0,,-18
Western Bulldogs,West Coast Eagles,1997,21,1997-08-23,W,H,Western Oval,26704.0,,18
Fremantle Dockers,Geelong Cats,1997,21,1997-08-24,L,H,Domain Stadium,28751.0,,-32
Geelong Cats,Fremantle Dockers,1997,21,1997-08-24,W,A,Domain Stadium,28751.0,,32
Port Adelaide Power,Richmond Tigers,1997,21,1997-08-24,L,A,Melbourne Cricket Ground,22516.0,,-85
Richmond Tigers,Port Adelaide Power,1997,21,1997-08-24,W,H,Melbourne Cricket Ground,22516.0,,85
Adelaide Crows,Collingwood Magpies,1997,21,1997-08-25,W,H,AAMI Stadium,37661.0,,9
Collingwood Magpies,Adelaide Crows,1997,21,1997-08-25,L,A,AAMI Stadium,37661.0,,-9
Brisbane Lions,West Coast Eagles,1997,22,1997-08-29,L,A,WACA,29402.0,,-39
West Coast Eagles,Brisbane Lions,1997,22,1997-08-29,W,H,WACA,29402.0,,39
Carlton Blues,Richmond Tigers,1997,22,1997-08-30,L,H,Princes Park,34922.0,,-2
Fremantle Dockers,Melbourne Demons,1997,22,1997-08-30,L,A,Melbourne Cricket Ground,15036.0,,-40
Geelong Cats,Sydney Swans,1997,22,1997-08-30,W,A,Sydney Cricket Ground,46168.0,,10
Hawthorn Hawks,Western Bulldogs,1997,22,1997-08-30,L,H,Waverley Park,35706.0,,-18
